Time,Cost,Emissions,Alpha
31.7389,44496037046081.04,121128585696.1946,0.3409
31.7869,44485035706049.67,121033783051.2158,0.3414
33.7596,44033217971217.86,117140234996.9035,0.3626
35.3075,43678711728177.25,114085253172.2445,0.3792
36.7105,43357364472978.29,111316081072.5,0.3943
37.7131,43127736277863.67,109337284566.6873,0.405
38.3295,42986570766487.09,108120739711.1638,0.4117
40.6038,42465663743349.125,103631778481.1276,0.4361
42.0511,42134173188911.58,100775180557.9544,0.4516
43.1156,41890379922562.95,98674325934.5708,0.4631
45.559,41330759789035.375,93851748954.7598,0.4893
46.7478,41058466102828.555,91505281498.2291,0.5021
47.5398,40877072875524.13,89942204425.4911,0.5106
49.1478,40508786164764.91,86768430459.883,0.5278
49.9324,40329102386472.516,85220065956.7058,0.5363
51.6277,39940814996412.2,81873947824.6076,0.5545
52.6526,39706073174085.85,79851104765.5723,0.5655
54.2,39351660667647.13,76796850797.3131,0.5821
54.8961,39192238859985.35,75423038054.3981,0.5896
56.0177,38935355363645.695,73209434210.0875,0.6016
57.9212,38499374007159.125,69452273267.825,0.6221
58.3477,38401685456305.31,68610487782.0845,0.6267
59.059,38238791527438.766,67206772931.1206,0.6343
59.5716,38121388386114.95,66195004436.1556,0.6398
60.6736,37868984603138.164,64019900395.6662,0.6516
61.2503,37736901677301.33,62881707328.2974,0.6578
62.1411,37532877079087.484,61123510560.687,0.6674
63.6366,37190355048015.945,58171775991.8648,0.6835
65.1919,36834131228436.586,55102031266.3086,0.7002
67.8925,36215603750197.195,49771853620.8372,0.7292
68.5717,36060038858679.68,48431357521.7493,0.7365
69.8759,35761325798647.79,45857175232.9339,0.7505
70.6824,35576622870172.25,44265496618.1745,0.7591
72.2682,35213414064565.84,41135547989.7867,0.7762
73.5815,34912634260341.535,38543556267.1211,0.7903
75.617,34446428790930.297,34525981712.9917,0.8121
76.2934,34291506644752.17,33190939680.3542,0.8194
77.7861,33949632694245.684,30244839591.1599,0.8354
78.7034,33739534299224.562,28434292248.2684,0.8453
82.6595,32833452291401.125,20626150513.2608,0.8878
84.5688,32396159713196.73,16857774719.7618,0.9083
86.3555,31986932721232.203,13331287349.0941,0.9275
87.4952,31725899617669.805,11081817444.2275,0.9397
89.3725,31295939274098.65,7376680202.4272,0.9599
90.727,30985712878429.05,4703198269.808,0.9744
93.1099,30439944134078.207,0.0,1.0
