Time,Cost,q_SE,q_R,Rocket_Launches,Alpha
30.6373,44710093938356.16,16452208767.12329,33547791232.876713,223652.0,0.3290441753424658
31.9122,44418867452554.57,17136857567.794237,32863142432.20576,219088.0,0.34273715135588473
33.1872,44127640966752.98,17821506368.465195,32178493631.534805,214524.0,0.3564301273693039
34.4621,43836411230951.39,18506155169.13615,31493844830.86385,209959.0,0.37012310338272303
35.7371,43545184745149.8,19190803969.807102,30809196030.192898,205395.0,0.38381607939614204
37.012,43253958259348.21,19875452770.478054,30124547229.521946,200831.0,0.3975090554095611
38.287,42962728523546.62,20560101571.14901,29439898428.85099,196266.0,0.4112020314229802
39.5619,42671502037745.03,21244750371.81996,28755249628.18004,191702.0,0.42489500743639924
40.8369,42380275551943.44,21929399172.490917,28070600827.509083,187138.0,0.43858798344981836
42.1118,42089049066141.84,22614047973.16187,27385952026.83813,182574.0,0.4522809594632374
43.3868,41797819330340.25,23298696773.832825,26701303226.167175,178009.0,0.4659739354766565
44.6617,41506592844538.66,23983345574.503777,26016654425.496223,173445.0,0.4796669114900755
45.9367,41215366358737.07,24667994375.17473,25332005624.82527,168881.0,0.4933598875034946
47.2116,40924136622935.48,25352643175.84568,24647356824.15432,164316.0,0.5070528635169136
48.4866,40632910137133.89,26037291976.51664,23962708023.48336,159752.0,0.5207458395303328
49.7615,40341683651332.3,26721940777.187588,23278059222.812412,155188.0,0.5344388155437517
51.0365,40050453915530.71,27406589577.858543,22593410422.141457,150623.0,0.5481317915571708
52.3114,39759227429729.12,28091238378.52949,21908761621.47051,146059.0,0.5618247675705899
53.5864,39468000943927.53,28775887179.20045,21224112820.79955,141495.0,0.575517743584009
54.8613,39176771208125.94,29460535979.8714,20539464020.1286,136930.0,0.589210719597428
56.1363,38885544722324.34,30145184780.54236,19854815219.45764,132366.0,0.6029036956108472
57.4112,38594318236522.75,30829833581.21331,19170166418.78669,127802.0,0.6165966716242662
58.6862,38303088500721.16,31514482381.884262,18485517618.115738,123237.0,0.6302896476376852
59.9611,38011862014919.57,32199131182.555214,17800868817.444786,118673.0,0.6439826236511043
61.2361,37720635529117.98,32883779983.22617,17116220016.77383,114109.0,0.6576755996645234
62.511,37429405793316.39,33568428783.897118,16431571216.10288,109544.0,0.6713685756779424
63.786,37138179307514.8,34253077584.568073,15746922415.431925,104980.0,0.6850615516913615
65.0609,36846952821713.21,34937726385.23903,15062273614.76097,100416.0,0.6987545277047805
66.3359,36555723085911.62,35622375185.90998,14377624814.09002,95851.0,0.7124475037181996
67.6108,36264496600110.03,36307023986.58094,13692976013.419064,91287.0,0.7261404797316188
68.8858,35973270114308.44,36991672787.251884,13008327212.748114,86723.0,0.7398334557450377
70.1607,35682040378506.85,37676321587.922844,12323678412.077158,82158.0,0.7535264317584569
71.4357,35390813892705.26,38360970388.59379,11639029611.406208,77594.0,0.7672194077718758
72.7107,35099587406903.66,39045619189.26475,10954380810.735252,73030.0,0.7809123837852949
73.9856,34808357671102.08,39730267989.9357,10269732010.064302,68465.0,0.7946053597987139
75.2606,34517131185300.48,40414916790.60665,9585083209.393347,63901.0,0.8082983358121331
76.5355,34225904699498.9,41099565591.2776,8900434408.722397,59337.0,0.8219913118255521
77.8105,33934674963697.3,41784214391.94856,8215785608.05144,54772.0,0.8356842878389713
79.0854,33643448477895.72,42468863192.61951,7531136807.380491,50208.0,0.8493772638523901
80.3604,33352221992094.12,43153511993.290474,6846488006.709528,45644.0,0.8630702398658094
81.6353,33060992256292.52,43838160793.96142,6161839206.038579,41079.0,0.8767632158792283
82.9103,32769765770490.94,44522809594.63238,5477190405.367622,36515.0,0.8904561918926476
84.1852,32478539284689.35,45207458395.30334,4792541604.696666,31951.0,0.9041491679060667
85.4602,32187309548887.76,45892107195.97428,4107892804.025717,27386.0,0.9178421439194856
86.7351,31896083063086.17,46576755996.64524,3423244003.3547606,22822.0,0.9315351199329048
88.0101,31604856577284.58,47261404797.31619,2738595202.683811,18258.0,0.9452280959463238
89.285,31313626841482.98,47946053597.987144,2053946402.0128548,13693.0,0.9589210719597429
90.56,31022400355681.4,48630702398.6581,1369297601.3419056,9129.0,0.972614047973162
91.8349,30731173869879.8,49315351199.32905,684648800.6709492,4565.0,0.986307023986581
93.1099,30439944134078.21,50000000000.0,0.0,0.0,1.0
